Rang,Variante,Modell,Parameter,Test Acc (Mittel),Test Acc (Std),Fold mit Best Val
1,V7,v7_five_conv_blocks,2492202,0.8235625624656677,0.0,1
2,BEST_CNN,9_conv_layer_cnn,2492202,0.8232806921005249,0.0,1
3,V9,v9_with_512_dense,2754858,0.822717010974884,0.0,1
4,V12,v12_with_dense_bn,2493226,0.8218714594841003,0.0,1
5,V5,v5_deeper_dense,684970,0.8066516518592834,0.0,1
6,V6,v6_with_dropout_03,684970,0.7869222164154053,0.0,1
7,V8,v8_five_conv_dropout,2492202,0.7793123126029968,0.0,1
8,V11,v11_best_cnn_deeper_dense,2754858,0.7694475650787354,0.0,1
9,V4,v4_deeper_filters,619178,0.7514092326164246,0.0,1
10,V10,v10_best_cnn_lite,1244458,0.7404171228408813,0.0,1
11,V3,v3_double_conv_bn,297706,0.7068771123886108,0.0,1
12,MINIMAL_MODEL,minimal_cnn,33648394,0.5839909911155701,0.0,1
13,V1,v1_minimal_with_bn,33649290,0.45885005593299866,0.0,1
14,V2,v2_minimal_bn_gap,103050,0.45236754417419434,0.0,1
