ID,Name,Model_Name,Parameters,Logs_Dir,Description
1,MINIMAL_MODEL,minimal_cnn,33648394,logs/minimal_cnn/,"Baseline: 3 Conv-Schichten, Flatten"
2,V1,v1_minimal_with_bn,33649290,logs/v1_minimal_with_bn/,MINIMAL mit BatchNorm
3,V2,v2_minimal_bn_gap,103050,logs/v2_minimal_bn_gap/,V1 mit GlobalAveragePooling statt Flatten
4,V3,v3_double_conv_bn,297706,logs/v3_double_conv_bn/,"Doppelte Conv-Layer pro Block (32-32, 64-64, 128-128)"
5,V4,v4_deeper_filters,619178,logs/v4_deeper_filters/,V3 + 256-Filter Block
6,V5,v5_deeper_dense,684970,logs/v5_deeper_dense/,V4 + tiefere Dense-Schichten (256→128)
7,V6,v6_with_dropout_03,684970,logs/v6_with_dropout_03/,V5 + Dropout(0.3) Regularisierung
8,V7,v7_five_conv_blocks,2492202,logs/v7_five_conv_blocks/,5 Conv-Blöcke (mit 512-Block)
9,V8,v8_five_conv_dropout,2492202,logs/v8_five_conv_dropout/,V7 mit Dropout(0.3)
10,V9,v9_with_512_dense,2754858,logs/v9_with_512_dense/,V8 + Dense(512) für mehr Kapazität
11,BEST_CNN,9_conv_layer_cnn,2492202,logs/9_conv_layer_cnn/,"Baseline: 5 Conv-Blöcke, Dense(256), Dropout(0.5)"
12,V10,v10_best_cnn_lite,1244458,logs/v10_best_cnn_lite/,BEST_CNN ohne 512-Block (4 Conv-Blöcke)
13,V11,v11_best_cnn_deeper_dense,2754858,logs/v11_best_cnn_deeper_dense/,BEST_CNN mit Dense(512→256) + Dropout(0.3)
14,V12,v12_with_dense_bn,2493226,logs/v12_with_dense_bn/,BEST_CNN + BatchNorm in Dense-Schicht
